S/N,PROJECT TITLE,PROJECT CATEGORY,Country(diry),OWNER NAME,BLURB
200B,"Fruition Productions Presents: Watermyth, by Katherine Jett.",Theater,United States,Christopher Dodge,Look for the signs.
278B,Puffs,Theater,United States,Colin Waitt,A Freaks and Geeks style comedy about the least popular house at a certain school of magic and magic.
623C,Waterwell's New Works Lab @ PPAS,Theater,United States,Waterwell,"Waterwell & PPAS are thrilled to announce its third year playwright, A. REY PAMATMAT."
156B,The Youssef Drawing Syllabus - Movement & Form,Art Books,Canada,Samantha Youssef,The Youssef Drawing Syllabus.  The book covering the figure drawing program taught to animation industry artists.
345B,The Fear,Theater,United States,The Fear,"We are funding to make an action packed, thrilling short film about the beginning of the zombie apocalypse. With an amazing story line."
350C,The West,Theater,United States,Alex Bechtel,THE WEST is a new piece of ensemble-devised musical theatre created & directed by Philadelphia theatre artist Alex Bechtel.
241B,Macbeth,Plays,United States,G. Todd Buker,An original version of Shakespeare's masterpiece that emphasizes family and explores the destruction of blood ties
386C,Baby's Breath in the Dream Up Festival,Theater,United States,Jeana Scotti,"A new play about the story of a girl who has a baby growing in her lung. Told through an examination of language, movement and breath."
7,Retrospective collection of Kal cartoons from The Economist,Art Books,United States,Kevin Kallaugher,Daggers Drawn: 35 years of editorial cartoons and covers from The Economist by the award winning artist Kevin KAL Kallaugher
309C,The Haunted History of New Orleans,Publishing,United States,James Caskey,This book chronicles my journey to New OrleansLouisianaand my quest to find the most haunted locations in the French Quarter.
430B,Cat Scratchin' A Collection Of Good Cats And Their People,Art Books,United States,Linda Sheets,A book of colorful folk art scratchboard drawings of rescued cats with their stories including the people who love them.
487B,THE RINSE CYCLE - shrinking Wagner's Ring,Musical,United Kingdom,Unexpected Opera,"It's Wagner's Ring Cycle conditioned with comedy and shrunk to one evening.  We'll tell the story of the Ring, with emerging singers."
619C,Astral Dick,Theater,United States,Hanna Hall,"A ""whodunit"" involving a police psychic, CAP'N, and his ""paranormal guinea pig"" Lieutenant LEO FLECK."
447C,Skinjobs: A Blade Runner Zine!,Art Books,United States,James O,"Blade Runner-inspired artwork from 25 illustrators, collected in a risographed anthology booklet."
418C,OCTOBER IN THE CHAIR & Other Fragile Things...This Halloween,Plays,United States,Michael McQuilken,"Award-winning OSR Performance Ensemble brings the creepy, unlikely, bitter, sweet, macabre & beautiful world of Neil Gaiman to the stage."
493B,"STUCK, a play by Jessica Goldberg",Theater,United States,Sarmarie & Jayne,A passion project that we have decided to move to the main stage!
199C,DAAANG JUDI DENCH GOES ON TOUR,Theater,United States,DAAANG Judi Dench,"We're going on tour! Help support four women in search of comedy, as they push the boundaries of improv in LA, Detroit, Chicago & beyond"
206B,PUSSY PATRONS CUM TO LONDON,Experimental,United Kingdom,PUSSY PATRONS,"A feminist performance art company based in East London are exploring and glorifying the female anatomy, our precious 'pussy'."
520C,Time 2 RE:INVENT,Art Books,United States,Magnus Rex Studio,An Artist Paralyzed By ALS Inspires Others To Fulfill Their Creative Potential.
531C,LEAR Inc. at the Edinburgh Festival Fringe 2015,Theater,United Kingdom,LEAR Inc.,LEAR Inc. is a boldhigh-octane piece of theatre based on Shakespeare's 'King Lear'performing at the Edinburgh Festival Fringe 2015.
84,"""The Holiday Bug"" 2014 Puppet Show",Plays,US,Austin Thompson,"A Multi-Media Puppet Show, with large cable control puppets to tell a hilarious story for all ages."
141C,The Revival,Theater,United States,John Stoops,Bringing improvisational comedy back to its birthplace on Chicago's historic South Side.
234B,MY EYES WENT DARK,Plays,United Kingdom,107 group,A father loses his family in a freak plane crash and goes on to murder the air traffic controller he holds responsible.
174C,Dancers,Experimental,United States,Francesca Spedalieri,A movement play in translation: a woman dances backwards through memories to be reunited with her husband and re-live their love story.
496C,LOVE and WAR,Theater,United States,Love & War Musical,An epic romantic musical set around WWII about love healing the wounds of war.
287C,Mobile theater for kids,Plays,Ireland,Rana,Able to travel around and bring joy to kids in refugees and homeless shelters.
317C,blind elephant: bright ideas,Theater,United Kingdom,blind elephant,Blind elephant needs your help to bring 'bright ideas' to the Edinburgh Fringe.
252B,"Moving JULIA, our new play by Vince Melocchi from CA to NYC",Theater,United States,Keith Stevenson,"We've been invited to bring our play, JULIA, to NYC for a 4 week run Off Broadway. Your continued support will help get us there."
445B,"Almost, Maiden-Save Maiden High School's Almost, Maine",Theater,United States,Carmen Eckard,"Maiden HS's principal  abruptly canceled the production of Almost, Maine after meeting with a local church group. The show must go on!"
116B,Greyman Is WAKING [Dallas] UP,Theater,United States,Greyman Theatre Company,Help Greyman Theatre Company present Kelsey Ervi's WAKING UP at Dallas' Out of the Loop Fringe Festival!
398B,My Beautiful Black Dog,Musical,United Kingdom,Brigitte Aphrodite,Gig meets theatre meets a tidal wave of glitter. A poetically joyous musical exploring the beautiful complexity of mental health.
263C,Apollinaire in the Park,Theater,United States,danielle jacques,Apollinaire presents a free outdoor moving Rosencrantz & Guildenstern are Dead performed in Spanish one night and English the next.
113B,Spies Are Forever: A New Comedy Musical,Musical,United States,The Tin Can Brothers,A new spy-themed comedy musical from the Tin Can Brothers and TalkFine coming to Los Angeles and YouTube.
156C,"The Zen Habits Book""location",Nonfiction,United States,Leo Babauta,A book about mastering the art of change - how to change habits & deal with life changesfrustrations with othersand more.
104,PLAYWRITEINC: PROJECT GEORGIA (the countrynot the state),Theater,US,"PlayWrite, Inc.",A women-led initiative to replicate PlayWrite's theater-based approach to heal youth at the edge in the republic of Georgia
111,A Race Redux,Plays,United States,Taryn Anderson,"This adaptation uses the text of O'Neill to explore race, and asks the audience if stereotypes impact a characters guilt or innocence."
431B,"Updating ""Producing Open Source Software"" for 2nd Edition",Nonfiction,United States,Karl Fogel,"It's time to update my 2005 book ""Producing Open Source Software: How to Run a Successful Free Software Project"". Help me do it right."
139C,3 Singers : a techno opera,Theater,United States,Erica Mott,A performance installation in soundmovement and visual imagery of the labor movement that sprang from the industrial revolution.
179C,TimeA Fair Hustler: Help Hand2Mouth Build A Time Machine,Theater,United States,Hand2Mouth,"Portland1990: Gus Van Sant films ""My Own Private Idaho"".  Portland2015: H2M uses the film to uncover where the characters are today"
226C,"""Little Brother"" vs. Big Brother",Publishing,United States,Emily Jacobi,"Translating Cory Doctorow's book ""Little Brother"" into Burmese languages to broaden the debate on technology for freedom against tyranny."
479C,Things Being What They Are,Theater,United States,Cameron Jappe & Moving Arts,"Los Angeles production of a comedy by Wendy Macleodwriter of ""The House of Yes"""
296B,Neutrons/ Protons IN PRINT,Literary Journals,United States,Sophie Lucido Johnson,Our little literary magazine wants to get bigger. We want to print books and more issues and editions. We need your help.
387C,Night of Ashes,Plays,United States,Cleveland High School PTA,"A Theatrical Prequel to Hell's Rebels, the current Pathfinder Adventure Path from Paizo Publishing"
486C,Waiting for Lefty - LA to NY,Theater,United States,Stella Adler Studio of Acting,Help bring the critically-acclaimedLos Angeles production of Clifford Odet's Waiting for Lefty to New York City
9,Unstuck #3: New Literature of the Fantastic and the Surreal,Publishing,United States,Matt Williamson,"A big, lavishly illustrated new anthology of short stories, poems, and essays with elements of the improbable and the uncanny."
553C,The Chairs: A Site-Specific Production,Theater,United States,Moze Halperin,"""Old Man:  Our corpses will land far from one another, and we'll rot in watery solitude... mustn't complain too much."""
194B,The Iddy Biddy Teeny Tiny Sara Schaefer Stand Up Tour,Theater,United States,Sara Schaefer,I've given up my desk and it's time to hit the road. Help me share my act with some new folks!
1,Print Atlas Quarterly: American craft and curio,Periodicals,United States,Laura Palmer,Atlas Quarterly is a glossy print magazine that tells stories about American makers and beautiful objects from the past.
373C,The Wayward Tales' Grimoire - by T A Newman,Fiction,United Kingdom,T A Newman,Grimoire' is the first of the Wayward Tales and is an Urban Fantasy novel that changes the way we read magical fiction forever.
397C,Snow White - The Mirror's Revenge (Musical theater),Musical,United States,Jay Hartlove,Musical theater production and score soundtrack album for SNOW WHITE SEQUEL. The rest of the story you think you know.
433B,FictionBrigade -- online literary magazine,Fiction,United States,Sabrina Ricci (deleted),"Enjoy a good story but don't have much free time? Support FictionBrigade, an online literary magazine that publishes flash fiction!"
125B,The Return of Something Great (It's Time To Have Fun Again),Theater,United States,Jonathan West,One of Bialystock & Bloom's most successful plays ever was THE SANTALAND DIARIES.  I want to bring it back for ass kicking fun.
395B,Kafka on the Shore,Plays,United States,Claire Huntington,A student led production at Northwestern U. of an adaptation by Frank Galati of the classic book Kafka on the Shore by Haruki Murakmi.
259B,DEAF WEST THEATRE presents SPRING AWAKENING,Musical,United States,Deaf West Theatre,A ground-breaking new production of the beloved musical performed simultaneously in Spoken English and American Sign Language (ASL).
99B,Natasha Noman's Noman's Land  | Aug 5-15th Edinburgh Fringe,Festivals,United States,Natasha Noman & Veda Kumarjiguda,A one-woman comedy about Natasha's lesbian Tinder date in Pakistan. Support our journey to the Edinburgh Fringe Festival!
164C,Working Through the Great Recession,Nonfiction,United States,Andrew Edwards,During the recessionI worked a bunch of crazy jobs.  I decided to write about them.  This book is a collection of those stories.
174B,2013 Bay One Acts Festival (BOA),Festivals,United States,The BOA Festival,The 2013 Bay One Acts Festival (BOA) spotlights new work from local artists. Your pledge helps sustain a Bay Area theater tradition.
113C,A CATERED AFFAIR,Theater,United States,Porchlight Music Theatre,When an only daughter gets marriedit's a romantic affaira family affair...
464C,"Moonlet Theater presents ""The Last Five Years""",Musical,United States,Amal Bisharat,"I am thrilled to announce my theater company's first production! ""The Last Five Years""- J. Robert Brown. Starring myself and JP Jones."
127C,Get TwentySomething to Edinburgh Fringe Festival!,Musical,United Kingdom,TwentySomething Productions,TwentySomething Productions are taking 6 - a new musical and The Platform concert series to Edinburgh Fringe Festival 2014!
182B,Wednesday Repertory Company Presents: UNDER THE TABLE,Theater,United States,WedRepCo,The Wednesday Repertory Company (WedRepCo) seeks to produce a showcase of ten exciting and original one-act plays!
154C,Glory and Triumph - Never Before Seen Hockey Photos,Publishing,Canada,Andrew McCall,Go where no fan has gone before! Glory and Triumph takes you on a journey through time with never before seen photos of NHL legends.
454C,Comedy of Doom: The Book,Publishing,United States,Joseph Scrimshaw,A collection of essaysparodiesand true stories covering every major topic in geek culture.
82C,Beervangelist's Guide to the Galaxy: Book Launch,Nonfiction,United States,Fred Bueltmann,"A philosophy on food and drink""Beervangelist's Guide"" invites and informs; teaching the reader how to artfully integrate beer & food."
373B,How to Be a GoodPersonâ„¢,Immersive,United States,Lamplighter Productions,A radically inclusive theatre piece about a world where facebook likes and systematic racism receive equal attention.
279B,Murder Ballad - Någon måste dö. En musikal från Broadway,Musical,Sweden,Patrik Martinsson,Murder Ballad. Ett kÃ¤rleksdrama med fyra skÃ¥despelare i regi av Morgan Alling. En rockmusikal i en akt.
336C,Heartbeat Opera,Theater,United States,Ethan Heard,"We're launching Heartbeat Opera with workshops of Donizetti's ""Lucia di Lammermoor"" and Weill's ""The Seven Deadly Sins.""  Join us!"
118C,Indulge Cock and Bull's Voolf,Experimental,United States,Cock & Bull Theatre,Voolf explores the world of fairy-tales with a voracious appetite. An experimental theatre production by Chicago's Cock and Bull.
542C,LA CASA AZULby Gregory Hancock...An encore performance!,Musical,United States,Bernie Hirsch,An original new musical about the intense and turbulent life journey of Mexican artist Frida Kahlo.
255B,LabRats Present Season Two! 2 plays in Rep: HA! HA! and So.,Theater,United States,James,We're producing our second season of new work. We're doing two plays in repertory; HA! HA! by Lawrence Dial and So by Suzanne Heathcote
67,Accidental to Edinburgh - PHASE 1: AIRFARE,Theater,United States,Accidental Nostalgia,WHY MULTIPLE PROJECTS? to give you the choice of how you wanna help.PROJECT:We need plane tickets for our 12 member company...
403B,Islands (or how to play dirty and get away with it),Experimental,United Kingdom,Caroline Horton,"Award winning Caroline Horton's illuminating and powerful ink-black new comedy about the monstrous, secretive world of tax havens."
115B,"Rajiv Joseph's ""Gruesome Playground Injuries""",Theater,United States,Ivey Lowe,"My senior year at Savannah College of Art and Design I am making my directorial debut with Rajiv Joseph's ""Gruesome Playground Injuries"
136,The Modern Theater's 'Play It Forward' Fund,Plays,United States,The Modern Theater,Play it Forward' is a ticket bank for individuals in need. Fund a theater experience for someone that would otherwise go without!
423C,A Tail of Two Cities: Adventure 1,Theater,United Kingdom,Coney HQ,"A Tail Of Two Cities is a set of adventures through the financial district of a city, exploring our relationship to the economic crisis"
299C,Planet Money T-shirt,Radio & Podcasts,United States,Planet Money,We are a team of multimedia reporters covering the global economy. We are going to make a t-shirt and tell the story of its creation.
573C,The Disappearing Man @ Cloud City,Theater,United States,Jahn Sood,The Musical Theatre Factory will present the first production of Sood's folk opera at a new performance space in Brooklyn.
375B,The Seagull Project Presents: The Three Sisters,Plays,United States,The Seagull Project,"After electrifying audiences in Seattle and Tashkent, The Seagull Project embarks on a brand new journey."
85C,The Choose Your Own Adventure with Jesus Book!,Publishing,United States,Brock LaBorde,"A comedic ""Choose Your Own Adventure""-style book that lets you control Jesus Christ during Bible times. Danger! Sex! Demons! Fun!"
495C,Cutting Off Kate Bush,Plays,United Kingdom,Lucy Benson-Brown,Cutting Off Kate Bush is a one-woman show written & performed by Lucy Benson-Brownpremiering at the Edinburgh Fringe Festival 2014
265C,Touretteshero: Backstage In Biscuit Land,Theater,United Kingdom,Jess Thom,A new show for the Fringe. Jess has Tourettes; she's neurologically incapable of staying on script and that's where the fun begins.
47,Danielle Imara's Insane,Experimental,GB,Fresco Puppy Productions,Fresco Puppy need your help to develop their experimental pop opera which will challenge mental health stigma and discrimination.
82B,"Rajiv Joseph's ""Gruesome Playground Injuries""",Children's Books,United States,Sally Nixon,"A visual retelling of ""The Spider and the Fly"" with a bit of Hansel and Gretel thrown in."
30,The 2nd Annual New York City Poetry Festival,Poetry,US,The Poetry Society of New York,The New York City Poetry Festival showcases the diversity of NYC's vast poetry community on Governors Island each July.
102B,Galatea: A Prism Movement show!,Theater,United States,Prism Co.,Galatea is a moving and heartfelt theatrical piece that explores the story of an artist who is trying to create the perfect girl.
452C,Scavenger Hunt: A Self Published Artist's Book,Art Books,United States,Jonathan Gitelson (deleted),"I'm an artist living in Chicago and am raising money to self publish and professionally bind my artist's book""Scavenger Hunt."" "
116C,"""Let's Sing A Show Tune!"" A New Musical Revue",Theater,United States,Ron Lytle,A Madcap Musical Revue Featuring the Songs of Ron Lytle.  Opening Night: January 182013!  Alcove TheatreSan Francisco
259C,The La MaMa Cantata-On Tour!,Theater,United States,La MaMa,La MaMa Cantata is the origin story of La MaMa told through song. Writtencomposed and directed by Elizabeth Swados.
390C,,,,,
472B,Pchile Goyin (a letting go),Theater,United States,NEW NOISE,"We use puppets, music, projections and rigorous physicality in this piece that is as much ritual as it is performance."
438B,Bilocal: Seattle-New Orleans. Create & present new writing & art about community,Nonfiction,United States,Bob Redmond,"A performance and exhibit on the theme of community, Bilocal: Seattle-New Orleans incorporates writers, designers,  musicians, filmmakers and chefs."
257C,"""Now I'm Fine"" by Ahamefule J. Oluo",Experimental,United States,Ahamefule J. Oluo,"""Now I'm Fine"" is a piece of experimental musical theater that I have been working on for several years and will debut this December!"
72,Akvavit Theatre presents: MISHAP! by Bjarni Jónsson,Theater,US,Akvavit,"From Iceland to Chicago- Akvavit Theatre presents the comical and complex MISHAP! by Bjarni Jónsson, directed by Chad Eric Bergman."
61,BRING MISSING BACK TO LIFE,Theater,United Kingdom,Gecko Theatre,Help Gecko rebuild MISSING- The show was completely lost in a fire at Battersea Arts Centre but is due to tour from May.
634C,TwainFest 2012,Festivals,United States,Walter Ritter,TwainFest 2012 - San Diego's biggest FREE theatrical event celebrates Mark Twain and his contemporary writers on August 182012.
268B,THE BUS: Off Broadway & Westboro Baptist Church,Theater,United States,Jim Lantz,Our play about small-town homophobia is headed Off Broadway AND to one of the most anti-gay places in the U.S.
400C,The Doppelgännger Cometh and Overtaketh: Cincy Fringe Fest,Theater,United States,Alex Parks,"Absurd, modern and fantastical, this play plays with the desire in all of us to escape our own responsibilities for something new."
10,The Raider's Companion (A how-to for raiding),Nonfiction,US,"Adam ""Ferrel"" Trzonkowski",A highly detailed how-to guide for both the new and veteran MMORPG raider based on a decade of experience.
335C,O/A: The Sophocles Project,Theater,United States,Jonathan Graziano,Collaborate with us on an adaptation of Oedipus framed by Antigone that examines how the past affects those we leave behind.
53,Bacchic Project,Theater,US,In the Water Theatre Company,Bacchic Project is an adaption of Euripides' The Bacchae and Emile Zola's L'Assomoir created on Block Island and performed in Brooklyn.
160B,Melissa Youth OnSTAGE Season 5. Act Like you Mean it!,Musical,United States,Doug Valentine,Melissa Youth OnSTAGE (MYO) provides kids in North Collin County with the very best in youth theatre opportunities.
194C,"""It's the Holidays"" Old Time Radio Convention",Theater,United States,SPERDVAC,A three-day celebration featuring panels and re-creations celebrating the Golden Age of Radio with the stars who made it all possible.
357C,"Akvavit Theatre Presents ""Kokkola"" by Leea Klemola",Theater,United States,Akvavit,"Akvavit Theatre Presents Finnish play ""Kokkola"" by Leea Klemola in translation by Nina Sallinen. @ Rivendell Theatre July 2012"
63,Cloud Child - a theatre show for the very young,Theater,United Kingdom,Adam Bennett,A theatre show for very young children in which love sometimes means holding on... and sometimes means letting go
265B,Elbow Grease Theatre presents THE WOODEN LAMB,Theater,United States,Allison Karic,THE WOODEN LAMB is the inaugural show for Elbow Grease Theatre and a wonderful new piece of theater from emerging voice Tessa Williams.
184B,Under the Table says: Canada or Bust!,Theater,United States,Under the Table,Physical comedy ensemble Under the Table from Brooklyn heads to Canada this summer for their largest tour yet. Winnipeg/Saskatoon/Edmonton or bust!
120,"Dogugaeshi, Studio Theatre 2012",Theater,United States,Basil Twist,"Basil Twist's abstract journey of images from ancient and modern Japan, a part of the 100th National Cherry Blossom Festival, 2012."
128C,Abraham Werewolf presents PAPER THIN WALLS,Theater,United States,Abraham Werewolf,Help Chicago-based theater collective Abraham Werewolf put up their next productionPAPER THIN WALLS.
79,Hansel & Gretel: An Indie-Folk Musical,Musical,United States,Sparrowtree Theatre Company,Indie music meets musical theater and film in this dark retelling of the classic fairy tale.
567C,Everybody Nose It's My Birthday,Theater,United States,Kimberly Kaiser,Everybody Nose NYC is the NY branch of LA's favorite clown troupe. Please help us launch our troupe by backing our upcoming show!
161C,The Lush Scoop Magazine,Zines,Australia,The Lush Scoop,The Lush Scoop is a cruelty-free lifestyle magazine exploring FoodCulture & the Arts.
153B,Science baby memory book - THE HUMAN INFANT PROJECT,Publishing,United States,Tiffany Ard (The Nerdy Baby lady),Record your baby's first year FOR SCIENCE. Keep data and photos in a lab-style memory book designed by children's artist Tiffany Ard
62,The Hitchhiker's Guide to the Family,Plays,GB,Ben Norris,"A one-man show about love, loss, and motorways, written & performed by Ben Norris. Help us get to the 2015 Edinburgh Fringe and beyond!"
321B,Independents at Fringe NYC,Theater,United States,Charlie Polinger,A new folk-rock musical out of Yale seeks money for a NYC Fringe production
257B,"""Signs of our Occupy"" to Edinburgh Fringe Festival 2013",Theater,United States,Michael Berry-Berlinski,"Oakland School for the Arts ""Signs of our Occupy"" (an original theatre production) headed to Edinburgh Fringe Festival 2013"
166C,Interview with a Genius and Half Arsed Flyerer to Edinburgh,Festivals,United Kingdom,George Vere & Adam Willis,George and Adam are taking two shows to the Edinburgh Fringe Festival and they need your help
342C,CATCH THE WALL: Workshop at the CAC,Theater,United States,Gabrielle Reisman,The workshop of a boundary bending new play about bounce music and the New Orleans charter school movement.
627C,"""Bright Ideas"" By Eric Coble",Plays,United States,Kristin Johansen,Hilarious play about two parents obsessed with getting their kid into the best pre-school and are willing to do ANYTHING to get him in!
315C,"""CIRQUE CAPRICIEUX the greatest one woman show on earth""",Plays,Germany,Silea,A circus theater show. An escaped carousel horse and a beautiful wire dancer let the fantasies run wild.
304B,Get. That. Snitch. - The World's Most Dangerous Play,Plays,United States,Great Minds Creative Productions,"A stylishly sinister story about blood, guns, and raw ambition. You can help Great Minds bring the world's most dangerous play to life!"
322B,Sister My Sister,Theater,United States,Marcus Pontello,"A performance duet between Marcus Pontello & West Williams as they embody, rearticulate, and queer the mythology of Narcissus and Echo."
224C,CHAWTON COTTAGE COLLECTIONa knitting  book,Publishing,United States,Kirsti Johanson,A book of armchair travels with Jane Austen's characters through prose & patterns...knitting inspired by literature
248C,"The Act: circus, theatre and murder mystery",Immersive,United Kingdom,Naomi Smyth,Freaks and clowns gather in a smoky room for a slice of nostalgia. Some pursue the truth- who will take the fall? Who killed our Angel?
94C,BOOM! International Tour - CircusTheatreMasks and Music!,Festivals,United States,David Poznanter,We are creating a circus show with theatrical masks and live music for a multi-year international tour.
246C,TWO GENIUS HUSBANDS at Dixon Place,Experimental,United States,The Poetry Society of New York,TWO GENIUS HUSBANDS is a queer & contemporary farce about the possibility of genius and the simultaneous impossibility of geniuses.
117C,Gilead'an original theatre piece,Plays,United Kingdom,Hux Productions,Gilead' is an original theatre piece inspired by Margaret Atwood's 'The Handmaid's Tale'. (Brighton Fringe 2014)
16,BEAUTY STATE,Poetry,US,Allison Hummel & Davida Rae,"Beauty State is a book: written by Allison Hummel, illustrated by Davida Rae. Beauty State is about California: past, now, and someday."
308B,BAMIF CKER/KAFFEEHAUS,Experimental,United States,Little Lord,"You thought you knew Bambi, but look what happens when you start to scratch the surface..."
446C,The Wedding Week,Children's Books,United Kingdom,Chimaechi Allan,Attend 7 diverse weddings in 7 days in a journey around the world from saris to chuppahs! A vibrant story set in contemporary Africa.
460C,Twelve Angry Women,Plays,United Kingdom,Sara Clifford,"On the 60th anniversary of Twelve Angry Men, 12 female writers create 12 short pieces about what makes them angry."
169C,The Official Houdini Séance 2015,Immersive,United States,Tucker Hiatt,Contact the spirit of the great Houdini? Skeptics and believers try at SF's Brava Theater on the anniversary of his death: Halloween!
472C,Send The Bad Arm to Edinburgh. Meet the Dodgy Irish Dancer!,Plays,United Kingdom,Máire Clerkin,Please help me bring 'The Bad Arm'which has toured America for 6 yearsto the biggest & best arts festival in the world: Edinburgh!
452B,Hudson Warehouse: Celebrate Our 10th Anniversary Season!,Theater,United States,Nicholas Martin-Smith,"We produce free classical theater in Riverside Park, in New York City, and have for the past nine years."
157B,THE UNSOLICITED POETRY TOUR,Publishing,United States,Peter Anderson,"Verna Press is going on tour to promote David Rowe's 'Unsolicited Poems,' and to seek out new voices for our new Lit Mag Dorado."
232B,"Canyon High School presents ""Dirty Rotten Scoundrels""",Musical,United States,Evan Reed,"Support the performing arts! Help Canyon High School's production of ""Dirty Rotten Scoundrels"" reach our new goal of $3000!"
258C,Women of the Pacific Northwest,Theater,United States,Jackie Dandeneau,"A touching, humorous exploration of the women that shaped Humboldt Countyreplete with original music and outstanding women."
646C,Free Shakespeare in the Park,Theater,United States,Optimist Theatre & Susan Scot Fry,Help thousands of people in the greater Milwaukee area experience free Shakespeare in the Park this summer!
111B,Sister Mary Liar,Theater,United States,Carla Snowden,"Writer/Performer seeking donations to help take ""Sister Mary Liar"" to the 2nd annual Hollywood Fringe Festival in June of 2011."
86C,Screen Printing: On the Cheap Book,Publishing,United States,Screen Printing On The Cheap,This DIY book project instructs how to screen print out of your living space and design a semi-professional shop with a modest budget.
568C,Kurt Vonnegut's Galapagos (Original Theatrical Adaption),Experimental,United States,Tucker Marder & Christian Scheider,"Climb aboard the ""Nature Cruise of the Century"" and witness the brainlessness of eternity. Will we adapt or face extinction?"
310B,Send Geppetto to the Mountains of Boulder!,Theater,United States,Concrete Temple Theatre,"Concrete Temple Theatre is taking ""Geppetto: Extraordinary Extremities"" to The International Boulder Fringe. Help us get to Boulder!"
478C,"World Premiere of ""The Strange Attractor""",Theater,United States,Jesse Cramer,A new play by Jesse Cramer that relates mathematical concepts to two couples who struggle after the accidental death of their sons.
266B,The Killing Room,Plays,United States,One Year Lease Theater Company,"One Year Lease Theater Company's world premiere theater production of THE KILLING ROOM, by playwright Daniel Keene, March 2011 in NYC."
233B,A Kingdom for a Stage!              - Much Ado About Nothing,Festivals,United States,Sharron Drake,We need a stage and a budget for our Shakespeare show - at a new/old venue in lovely Inverness overlooking Tomales Bay!
136B,Venice Beach The Musical,Musical,United States,Venice Beach The Musical,Help fund our first workshop production at The Greenway Court Theater and future productions as we start the long journey to Broadway!
96,Our Own Little Shop of Horrors!,Theater,US,Theatre Unleashed,We need to build a man-eating plant that wants to take over the world! Can you help us?
501C,"Send ""Lizzie Borden Took an Axe"" to Fall RiverMA!",Theater,United States,Garrett Heater,"The award-winning new play ""Lizzie Borden Took an Axe"" will have 2 performances in Lizzie's home town...Fall RiverMA!"
411B,Speed Curses at Collar Works Art Space,Theater,United States,Josh Chambers,Speed Curses is a psychically crushing performance extravaganza and manifesto about art-making in the form of an operatic baseball game
75C,Wes ANDERZINE,Zines,United Kingdom,owen clements,a zine devoted to Wes Anderson
158C,ONE LOVES ONLY FORM,Radio & Podcasts,United States,Emily Gable,Public Radio Project
201B,"Frozen Feet Theater's NYC Debut; Skating, Puppetry & Stories",Theater,United States,Beth Woronoff,"A free lunchtime ice skating performance at the Rink at Brookfield Place, the World Financial District of NYC, premiering Fire and Ice"
434C,AVENIDA,Theater,Belgium,Rua Breathnach,"A new play by Rua Breathnach, directed by Remi Beelprezat The Warehouse Studio TheatreBrussels17 - 21 November 2015."
162B,Quarantine: Collapse,Theater,United States,Blackout Theatre,"Quarantine: Collapse is an interactive haunted house, be a part of the story as you navigate a farm and corn maze infested with undead!"
39,Welcome to the Hard Luck Cafe,Musical,United States,Karin Ringheim,Help launch an Equity Showcase production in New York City of a new musical with a hopeful perspective on recovery from addiction!
284B,GO-GO GIRLS OF THE APOCALYPSE II: THE LUXURY WARS - A NOVEL,Fiction,United States,Victor Gischler,An eBook sequel to the cult hit Go-Go Girls of the Apocalypse published by Simon & Schuster in 2008.  A satirical action adventure.
93B,Victory by Madicken Malm,Plays,United Kingdom,Brian Fenton,"We have a brand new play. We urgently need your help to fund our production, which opens at Theatre503 on August 18th."
368B,"""Apollo: The Panoramas"" Hardcover Book of stunning photos",Nonfiction,United Kingdom,Mike Constantine,Apollo: The Panoramas is a hardcover book containing over 50 stunning lunar surface panoramas from the Apollo missions to the Moon
441B,The Munitionettes,Plays,United Kingdom,Fun in the Oven Theatre,"Help us bring to life tales of hardship, danger and community of extraordinary women working in WW1 munitions factories."
258B,Primadonnas,Theater,United States,Mel Day,Two women meet and fall in love in prison. To cope with prison life they create a false queendom in which they are royalty.
358B,Wild Plate is a creative culinary adventure in the raw,Publishing,United States,Laurel Anderson,"Wild Plate brings you the future of food through a modern, full color, 285 page book featuring 100 raw food recipes for everyone."
123C,THE PLAY ABOUT MY DAD at 59E59 Theaters this June,Theater,United States,CollaborationTown,"CollaborationTown's latest production, THE PLAY ABOUT MY DAD - opens at 59E59 Theaters on June 16 - Kickstart the production values!"
458B,The Nina Variations,Theater,United States,Will Play for Food Theatre Group,"Will Play for Food' is bringing this fast paced, funny, heart breaking play to the Hollywood Fringe Festival...but we need help!"
477B,Two Girls and a Breakdown,Theater,United States,Kristina Miller,A Cabaret performance by Holly Long and Kristina Miller. Help support these up and coming actresses produce an amazing show!
124,Better Than Shakespeare Presents: Much Ado About Something,Plays,United States,Kate Williams Grabau,"Better than Shakespeare! Theatre Company's inaugural production, ""Much Ado About Something."" The Something is Aliens."
413C,[gooseplay]: a staged reading at Jester'Z Theater,Theater,United States,Michael Yichao,A world premiere reading of a new play by Yichaofeaturing EJ DohringJon Gentryand Harrison Redmond!
171C,the Asylum- a Nightmare Marlborough Haunted House,Theater,United States,Leah,"Non-profit, volunteer based, neighborhood 4 night Haunted House run by a Halloween fanatic family supporting Marlborough food pantry"
34,Kick LeftLion Magazine Monthly,Nonfiction,GB,LeftLion,"Help take Nottingham's 10-year-old magazine monthly. We want to raise £10,000 to cover 1-year of print costs. We have awesome rewards!"
183B,The Power of the Crystals,Theater,United States,James Call,Learn sexy anger. Become the funky dictator. Embrace... THE POWER OF THE CRYSTALS! NYC's premiere motivational seminar/rock opera.
