S/N,COUNTRY,PROJECT TITLE,PROJECT CATEGORY,OWNER NAME,BLURB
59,United States,Burning Man: The Musical,Musical,Matt Werner,We're creating & filming the opening song to Burning Man: The Musical.
61,United Kingdom,Bring Missing Back To Life,Theater,Gecko Theatre,Help Gecko rebuild MISSING- The show was completely lost in a fire at Battersea Arts Centre but is due to tour from May.
63,United Kingdom,Cloud Child - A Theatre Show For The Very Young,Theater,Adam Bennett,A theatre show for very young children in which love sometimes means holding on... and sometimes means letting go
65,United States,La Lune De Femme Goes To New Orleans Fringe,Festivals,The Good Night Ladies,"We've been selected for the New Orleans Fringe Fest! Help us transport, house, and pay our performers for our night with the Goddess!"
67,United States,Accidental To Edinburgh - Phase 1: Airfare,Theater,Accidental Nostalgia,WHY MULTIPLE PROJECTS? to give you the choice of how you wanna help.PROJECT:We need plane tickets for our 12 member company...
69,United States,Greenland Hits New York!,Theater,The Bridge,Help the Bridge Theatre Company bring Nicolas Billon's award-winning play GREENLAND to the New York International Fringe Festival.
71,United States,All Girls,Theater,Anne Louise Marquis,"All Girls is a hyper real, sometimes surreal play about three teenage girls and one colossally scary mother. Things happen. Come see."
73,United States,"As Of Yet, Untitled",Theater,William Etundi,"A Brooklyn creative space that hosts projects, shows and performances that can't happen anywhere else.  From the creators of TheDanger."
75,United States,Scared Shtless! (A Love Story),Theater,Blatant Testimony,"Blatant Testimony premieres this hilarious original comedy about ghosts, con men, fear, and love."
77,United States,Spider-Man: The Musical... The Musical!,Musical,The Colonel Mustard,"A play within a play (within a play?) The ""Inception"" of backyard musicals. With great power comes... little to no responsibility."
79,United States,Hansel & Gretel: An Indie-Folk Musical,Musical,Sparrowtree Theatre Company,Indie music meets musical theater and film in this dark retelling of the classic fairy tale.
81,United States,Papercranes Multi-Platform Artist Residency,Theater,Rain Phoenix,"Like-minded artists asked to interpret LOVE through their respective practices: music, dance; trapeze; visual arts; fashion; film."
83,United Kingdom,Night Light Theatre Presents 'Rift Zone',Theater,Rich & Sarah,"Night Light Theatre are making a new devised piece inspired by the myths and legends of Iceland, and we need your help!"
85,United States,Let There Be Balloons,Theater,Lovewell Theatre Project,A brand new musical. An international collaboration. Redefining the creative process. Let's put on a show!
87,United States,Free Delivery,Theater,Jason Ralph,Life. Death. Pizza.
89,United States,The Last Night Of The Barbary Coast,Theater,Katy Bell,The Last Night of the Barbary Coast is a theatrical production based on the legendary tale of a young woman's journey to the Wild West.
91,United States,Twelfth Night On 12Th Night,Theater,Acting Up (In Acadiana),Help Acting Up (in Acadiana) make Twelfth Night happen on 12th Night.
93,United States,The Origin(S) Project: The Remount,Theater,Sun Mee Chomet,THE Origin(s) Project: Memoirs in Motion - Two one-woman shows from the adult adoptee perspective.
95,United States,The Voodoo Chalk Circle,Theater,The State Theatre,"The State Theatre presents ""The Voodoo Chalk Circle,"" setting Brecht's masterpiece in New Orleans after hurricane Katrina. "
97,United States,A Life In The City,Theater,Nick Jester,"""A Life in the City"" is a brand new musical premiering in Lincoln, Nebraska this summer with your help!!"
99,United Kingdom,Lady Layton Merch & Big Band School!,Musical,Lady Layton,Lady Layton's Kick Starter Merchandise & Big Band campaign..needs YOU! Help me kick start my tour & career with much needed merchandise
101,United States,The Winter Workshop Series ,Theater,The Bridge,Help us premiere the work of two critically-acclaimed Canadian playwrights in New York City. All US donations are tax-deductible.
103,United States,A Thought In Three Parts,Plays,Frank Theater Company,"FRANK, a newborn company, presents Wallace Shawn's famously unproduced,""A Thought in Three Parts.""Be FRANK with us!"
105,United Kingdom,Pandora's Circus,Theater,Tamzen Moulding,R&D for a new acrobatic show. On our custom built set we will be calculating fairness using all the tricks in the box.
107,United States,Atm Or This Is [Not] New York,Theater,Sponsored By Nobody,New interdisciplinary theatre work using New Yorkers' daily interactions with its homeless population as a means to investigate the financial crisis.
109,United Kingdom,Jermyn Street Theatre Presents The Potsdam Quartet,Theater,Esme Hicks,"Art and politics are paralleled when a string quartet must entertain the 'Big Four', as they decide the fate of the modern world."
111,United States,A Race Redux,Plays,Taryn Anderson,"This adaptation uses the text of O'Neill to explore race, and asks the audience if stereotypes impact a characters guilt or innocence."
114,United States,Twisted -- A New Starkid Musical,Theater,Team Starkid,"In this unauthorized parody, we take what ""Wicked"" did for the Witch of the West and apply it to the Royal Vizier from Aladdin."
116,United States,"Stand Alone Theatre Company ""Love, Lust & Straight Jackets""",Theater,Michael Orzechowski,"Stand Alone T.C. aims to put up a new original play by Michael Orzechowski at the Chesapeake Arts Center in Brooklyn, MD."
118,United States,Chiropractical: A New Musical Comedy,Theater,Nick Jester,Chiropractical is a new original musical comedy by Nick Jester!  We need funding to rent the space and buy/create supplies.
120,United States,"Dogugaeshi, Studio Theatre 2012",Theater,Basil Twist,"Basil Twist's abstract journey of images from ancient and modern Japan, a part of the 100th National Cherry Blossom Festival, 2012."
122,United States,"New Works Lab @ Ppas: ""Salomé Of The Moon""",Theater,Waterwell,Waterwell's New Works Lab @ PPAS is the country's leading development program for challenging new plays for young actors.
124,United States,Better Than Shakespeare Presents: Much Ado About Something,Plays,Kate Williams Grabau,"Better than Shakespeare! Theatre Company's inaugural production, ""Much Ado About Something."" The Something is Aliens."
126,United States,Costuming The Great White Way,Theater,James E Crochet,An exhibit celebrating the visual legacy of  American theatrical costuming  spanning more than 50 years and over a dozen productions.
128,United States,Judas Redux,Theater,Julia Albain,"""The Last Days of Judas Iscariot"" by Stephen Adly Guirgis. August 23- Sept 8th. Chicago IL.  It's finally happening."
130,United Kingdom,Axon Theatre - First Project (Phase 1),Plays,Axon Theatre,"Rehearsal & development of our first project as Axon Theatre: ""The Star-Spangled Girl"" in South Wales."
132,United States,Blast From The Past,Musical,Derrick Markray,"I am asking for public funding to help put together a musical tribute titled ""Blast From The Past"" reenacting famous HipHop, RnB acts."
134,United States,Grease,Musical,Kate Henerey & Jose Guerrero,Grease is the word for our 3rd Annual Prieto Academy Musical!  Take our 7th and 8th grade students back to the 1950s for a rockin' show
136,United States,The Modern Theater's 'Play It Forward' Fund,Plays,The Modern Theater,Play it Forward' is a ticket bank for individuals in need. Fund a theater experience for someone that would otherwise go without!
138,United States,The Barbara Vann Memorial Fund For Medicine Show Theatre,Theater,Nishi Rajan,"Support a genuine non-profit New York City community theatre that has helped actors, directors & playwrights for the past 45+ years."
140,United States,The Geek Show 2015-2016 Season! & Other Vstheuniverse Stuff!,Theater,Aaron J. Amendola,"The Geek Show is a variety show with guests, games, sketches, and a focus on the Nerd community in Chicago. Allons-y!"
72B,United States,Aint-Bad Magazine,Publishing,Aint-Bad Magazine,"Aint-Bad Magazine is a quarterly art journal focusing on images that discuss human existence, culture, and contemporary issues."
73B,United States,12 For '12 (3.0): Dangerous Games Novels,Fiction,Matt Forbeck,"I'm writing a dozen novels in 2012, a trilogy at a time. The third group is set at the largest adventure game convention in America."
74B,United States,Ask A Forensic Artist,Nonfiction,Lisa Bailey,From shattered skulls to suspects of crime: how forensic artists help solve law enforcement's toughest cases.
75B,United States,Pictivities,Children's Books,Pictivities Press,"Pictivities is new series of children's activity books, designed to generate super fun interaction between reader & child."
76B,United Kingdom,Eco Kids Planet Magazine,Children's Books,Eco Kids Planet,"An engaging, educational magazine for kids aged 6-11.  Issue One - The Amazon Rainforest.  In the little hands of big nature lovers."
77B,United States,Blade's Edge: An Independent Novel,Fiction,Virginia Mcclain,"An independently produced fantasy novel, featuring badass female main characters, inspired by feudal Japanese samurai culture"
78B,United States,8+1: An Asian American Literary Symposium,Publishing,Lawrence-Minh Bui Davis,"A day-long festival celebrating Asian American literature, Asian American writers, and community.  Free to the public.  May 7, 2011."
79B,United Kingdom,Crockett's Fall' - A Short Story Illustrated By Printmaking,Art Books,Anna Fennel Hughes,A short story about the turbulent relationship between Crockett and Poppy. Beautifully illustrated using printmaking techniques.
80B,United States,A Is For Boat - The Silent Letter Alphabet Book.,Art Books,Stewart Huntington,Finally an honest ABC book! 'A is for Boat' explores the capricious nature of English with a picture book of silent letters.
81B,United States,The Curious List Of Insides,Children's Books,Jill Adams & Alex McAdams,Oliver has an adventure through his neighborhood to find out what is inside of him & gathers objects that represent what he is made of.
82B,United States,"Publication Of ""The Inevitability Of Spiders And Flies""",Children's Books,Sally Nixon,"A visual retelling of ""The Spider and the Fly"" with a bit of Hansel and Gretel thrown in."
83B,United States,The Day The Sun Went Away,Children's Books,Jonathan Heilig,Self-illustrated children's picture book about a bird and a scientist who find that the sun has mysteriously disappeared.
84B,United States,Like A Local Mag,Periodicals,Polly,"Like a Local is a quarterly online travel magazine dedicated to going beyond the guidebook in one, singular city per issue."
85B,United States,Scream For Iced Cream By Jesus Abraham Correa Vii,Poetry,Thomas L. Vaultonburg,Iced Cream is the first book of poetry and art by legendary Rockford artist Jesus Correa and the fifth book by Zombie Logic Press.
86B,United States,Worst Seat In The House: Henry Rathbone & The Assassination,Nonfiction,Caleb Stephens,Worst Seat in the House is the first non-fiction book to examine Henry Rathbone's life and how the Lincoln Assassination affected him.
87B,United States,Hiro Tanaka - Photo Book,Art Books,Asian Man Records,"A photo collection by Hiro Tanaka, culled over many years spent traveling with bands like Cursive, Lawrence Arms and Minus The Bear."
88B,United States,Radio Ambulante,Radio & Podcasts,Radio Ambulante,We are a new Spanish language podcast telling uniquely Latin American stories.
89B,United States,Clarkesworld: Chinese Science Fiction Translation Project,Fiction,Neil Clarke,There's a whole world of great science fiction published in other languages. Help us translate and publish them in Clarkesworld!
90B,United States,Quarantine: The Experience,Theater,Blackout Theatre,"Quarantine: The Experience is an interactive haunted house unlike any other, a performance that puts the audience in the story!"
91B,Canada,Seabird Is Going To New York!,Immersive,James G. King & Marie Farsi,Help Theatre Babelle's Seabird is in a Happy Place make the flight from West Coast to East for its NY Premiere!
92B,United Kingdom,Ukip! The Musical,Musical,Hell Bent Theatre Company,Hell Bent Theatre Company need funding to take 'UKIP! The Musical' to the 2015 Edinburgh Fringe Festival
93B,United Kingdom,Victory By Madicken Malm,Plays,Brian Fenton,"We have a brand new play. We urgently need your help to fund our production, which opens at Theatre503 on August 18th."
94B,United States,Forefront Festival 2015,Festivals,Nathan Mancini,"Christian art doesn't have a great track record. Let's change that together. Join us for a festival of film, music, discourse and more."
95B,United Kingdom,Macbeth...In A Cave!,Immersive,Insane Root Theatre,"A unique, site-specific production of Shakespeare's darkest tragedy - Macbeth - brought to life in the historic Redcliffe Caves"
96B,United Kingdom,Saxon Court At Southwark Playhouse,Plays,Made By Brick,A razor sharp satire to darken your Christmas.
97B,United Kingdom,The Shells - Ausflug Nach Neu-Friedenwald,Immersive,The Shells 2015,"An immersive theater performance inspired by David Lynch's TWIN PEAKS. Come visit us: Berlin-Tempelhof, June 2015."
98B,United States,Chalkboard Players 2015 Free Lunch Site Fun Tour,Theater,Dallas Munger,"Engaging new youth audiences in fun arts experiences, sparking interest in live performance & promoting the connections that art makes."
99B,United States,Natasha Noman's Noman's Land  | Aug 5-15Th Edinburgh Fringe,Festivals,Natasha Noman & Veda Kumarjiguda,A one-woman comedy about Natasha's lesbian Tinder date in Pakistan. Support our journey to the Edinburgh Fringe Festival!
100B,United States,As The Matzo Ball Turns ~ The Musical,Musical,Gene Duffy,"Broadway or bust! From nutty Hollywood types to drag queens to dancing sandwiches, this musical has it all."
101B,United Kingdom,Casa Latin American Theatre Festival 2015,Festivals,CASA Festival,Help us make our most ambitious festival to date a reality by pledging what you can and spreading the word. No donation is too small!
102B,United States,Galatea: A Prism Movement Show!,Theater,Prism Co.,Galatea is a moving and heartfelt theatrical piece that explores the story of an artist who is trying to create the perfect girl.
103B,United States,Tender Napalm,Theater,Graham Hamilton,"Funny, brutal, and surprisingly touching, Tender Napalm is a gorgeously rendered and singular play."
104B,United States,Trashed Out: A New Musical - Bric Residency,Musical,Roy Nathanson & Lloyd H. Miller,"A musical about Florida by Roy Nathanson & Lloyd H. Miller featuring the Jazz Passengers. A tale of foreclosure, family, and love."
105B,United States,The Super Serious Show At The Edinburgh Fringe Festival,Theater,Kyle Mizono (Deleted),Los Angeles' best all-in-one monthly live comedy show heads to the Edinburgh Fringe Festival for 24 1-hour shows in 25 days.
106B,United States,The Spinning Wheel: A Son Remixes A Father's Radical Archive,Festivals,Baba Israel,"A collab between Baba Israel, Leo Kay, and Yako 440 to remix, exhibit, and dialogue with steve ben israel's archive of art and activism"
109B,United States,Reclining Nude On La Cienega,Theater,Steve Gelder,"Comedian/Actress Jann Karam is bringing her new play ""Reclining Nude On La Cienega"" to the El Portal Theatre in North Hollywood!"
110B,United States,A Bucket Of Blood,Theater,Shawnna Journagan,A theatrical performance of a 1959 cult classic Horror Movie set to a live jazz score. Check out the trailer! http://vimeo.com/37574094
111B,United States,Sister Mary Liar,Theater,Carla Snowden,"Writer/Performer seeking donations to help take ""Sister Mary Liar"" to the 2nd annual Hollywood Fringe Festival in June of 2011."
112B,United States,Wily West Production Of Sheherezade Xii:2012 For Pcsf,Theater,Jennifer Roberts,"A member Showcase production of the annual festival, Sheherezade for PCSF.  Dynamic short plays by talented local area playwrights"
113B,United States,Spies Are Forever: A New Comedy Musical,Musical,The Tin Can Brothers,A new spy-themed comedy musical from the Tin Can Brothers and TalkFine coming to Los Angeles and YouTube.
114B,United States,Buzz22 Chicago - Quake And Residue,Theater,Philip De Guzman,"Bring new and established work to the stage! Buzz22 Chicago, a theatre company, is mounting two productions and needs your help."
115B,United States,"Rajiv Joseph's ""Gruesome Playground Injuries""",Theater,Ivey Lowe,"My senior year at Savannah College of Art and Design I am making my directorial debut with Rajiv Joseph's ""Gruesome Playground Injuries"
116B,United States,Greyman Is Waking [Dallas] Up,Theater,Greyman Theatre Company,Help Greyman Theatre Company present Kelsey Ervi's WAKING UP at Dallas' Out of the Loop Fringe Festival!
117B,United States,Allotment Annie - A World Premiere,Theater,Infusion Theatre Company,"The world premiere of Alloment Annie by Mark Mason, opening January 5th at Strawdog Theatre."
118B,United States,Titus & Two Conversations. Huzzah!,Plays,Ross Williams,"Our fifth season is upon us: A wild new imagining of Titus Andronicus and our signature reading series ""Two Plays. One Conversation."""
119B,United Kingdom,Knightmare Live; The Cult Tv Show On Stage For The 1St Time,Theater,Paul Flannery,"We're turning the cult TV show into an immersive, hilarious, interactive theatrical adventure; expect riddles, monsters & spellcasting"
120B,United States,"Risd ""Cabaret""",Theater,Victoria Haynes,"Life is a Cabaret, Old Chum! Lets make Theater happen at RISD!"
121B,United States,The Game(Ing) Show,Theater,Urban Garden Performing Arts,"Combining game play with live performance in a way that lets the audience play the performance, or play the play."
122B,United States,We Have To Go Back: Lost The Musical,Musical,Stephen Parker,Six seasons of TV's most beloved sci-fi drama packed into one night of hilarious musical absurdity.
123B,United States,The Steadfast By Mat Smart,Theater,Slant Theatre Project,The Steadfast is an unflinching look at eight US soldiers across the sweep of American history.
124B,United States,The Ride-Along: An Immersive Theatre Adventure For Two,Immersive,José Pérez IV,It's a show in a car! Two audience members experience the action firsthand with a night in the life of two enthusiastic bounty hunters.
125B,United States,The Return Of Something Great (It's Time To Have Fun Again),Theater,Jonathan West,One of Bialystock & Bloom's most successful plays ever was THE SANTALAND DIARIES.  I want to bring it back for ass kicking fun.
126B,United Kingdom,"""Shakespeare: The Puppet Show"" At The V&A Museum In London",Theater,Allison Ouvry,"As part of the V&A's Shakespeare Festival, we're creating a puppet show celebrating the Bard and showcasing the V&A's fabulous puppets."
127B,United States,"Cannibal: The Musical, Live In Wilmington!",Musical,Browncoat Theatre,"Pineapple-Shaped Lamps and Guerilla Theatre return with another must see production, Cannibal! The Musical."
128B,United States,Riot - La's Alternative Comedy Festival,Festivals,Abbey Londer,A weekend long block party celebrating comedy in Downtown Los Angeles coming in the Fall of 2012.
129B,United States,Barbarous Nights,Theater,Sam Creely,"July 5 -13 at The Invisible Dog  /  51 Bergen St, Brooklyn"
130B,United States,The Magical History Tour: Theater! On A Boat! With Pirates!,Theater,Allegra Schorr & The Floating Theater,"An original theatrical, historical tour of NY harbor. Time-traveling pirates seeking riches discover America's greatest treasure."
131B,United States,Help Support The Kiggins Theatre To Go Digital!,Theater,The Kiggins Theatre,The historic Kiggins Theatre needs your help to convert to digital projection. Celebrate the past while moving into the future!
132B,United States,Pcsf 24-Hour Festival,Festivals,Jennifer Roberts,"8 plays from inception to production in less than 24-hours! It's a fast-paced, high-energy theatre experience for artists & audiences!"
133B,United Kingdom,Mamela Young Womens Project,Theater,Amy Golding,A theatre project that connects and gives a voice to young women from South Africa and the UK.
134B,United States,Dry Land By Ruby Rae Spiegel Dir. By Adrienne Campbell-Holt,Theater,Colt Coeur,"Dry Land is a play about girls, bath salts, bathing suits, rashes, love, and what happens in one locker room after everybody's left."
135B,United States,Galaxy Express - The Play,Plays,Peter Bond,"This is an action packed Sci-Fi stage play, using foam latex creature puppets, projected video footage, and audience participation."
136B,United States,Venice Beach The Musical,Musical,Venice Beach The Musical,Help fund our first workshop production at The Greenway Court Theater and future productions as we start the long journey to Broadway!
137B,United States,Twist: Adapted From The Novel Oliver Twist,Plays,Adam Quinn & Matt Kunkel,"Using 9 actors, TWIST focuses on the horror and unjust in 1837 London.  Think Peter and the Starcatcher meets American Horror Story."
138B,United States,The Last Broadcast Of Walter Harwell,Festivals,Christian McDaniel,I'm Christian McDaniel and I'm performing my solo show at the SOLOCOM festival in New York City
139B,United Kingdom,I Know All The Secrets In My World,Theater,Tiata Fahodzi,i know all the secrets in my world is a play about fathers and sons and what happens when speaking feels impossible.
140B,United Kingdom,The Snow Child,Immersive,Butterfly Psyche Theatre,"A magical, multi-sensory, family Christmas production that will be inclusive and accessible to everyone."
142B,United States,Tales Of A Red Clay Rambler Podcast: Season 3,Radio & Podcasts,Carter Pottery,Help fund the third season of this thought-provoking podcast exploring the lives of creative people around the world.
143B,Canada,Temple Of Hope,Fiction,Narendra Simone,A fast-paced thriller that exposes the dark underworld of India and will take you on a nail-biting roller coaster ride.
144B,United States,Iron Edda: Sveidsdottir - Inclusive Norse Fantasy,Fiction,Tracy Barnett & Exploding Rogue Studios,"A novel set on a backdrop of Norse myth and epic fantasy. When you have the spirit of a Valkyrie, what will you do with it?"
145B,United States,Jam - A Collection Of Epic Live Photos From Jay Blakesberg,Art Books,Jay Blakesberg,"Jay Blakesberg presents JAM, a 192 pg. hard back coffee table book of live music photography & extensive quotes from notable musicians."
146B,United States,Olympic Favela - A Photography Book,Publishing,Marc Ohrem-Leclef,A photo-book portraying the favela residents in Rio being displaced as the city prepares to host World Cup and Olympic Games.
147B,Australia,Alphabet Family Journal - Print Edition,Publishing,The Alphabet Journal Family,Alphabet is for the people who make a home together. We're what you read when you want to feel like you belong.
148B,United States,Illustrated Book: Wicked Children By Michele Hartsoe,Children's Books,Sugar Pill Publishing,"Adventure storybook about an orphan sucked into an exciting world of Wicked Mystery, Magic and Mythical Creatures."
149B,United States,Children's Story Book: Jamie Loves Her Natural Hair,Children's Books,Ariane,A children's story book that will empower girls to love their curls!
150B,United States,David Mack: Muse Life Drawings 2012-2014,Art Books,Thomas Negovan,"New York Times bestselling author and artist David Mack (Daredevil, Kabuki) shares his most intimate drawings in a deluxe art book."
151B,Canada,Commodore: The Amiga Years Book,Nonfiction,Brian Bagnall,"A beautiful hardcover book chronicling the Commodore Amiga years. First hand interviews, inspiring stories, and lots of laughs."
152B,United States,Crossing Swords - The Battle For The Soul Of Marriage - Book,Nonfiction,Cindy Peyser Safronoff,A comparative biographical story focused on two sides of an 1870s American marriage debate during the early women's rights movement
153B,United States,Science Baby Memory Book - The Human Infant Project,Publishing,Tiffany Ard (The Nerdy Baby Lady),Record your baby's first year FOR SCIENCE. Keep data and photos in a lab-style memory book designed by children's artist Tiffany Ard
154B,United States,The Big Aha: A Novel,Fiction,Rudy Rucker,"Quantum wetware, telepathy, and cosmic slack for a wild young crowd.  Fun!  But beware of the hungry wormholes..."
155B,United States,"Be A Hobbit, Save The Earth",Nonfiction,Steve Bivans,"The hobbit's guide to saving the Earth, living sustainably, and rebuilding our Scoured Shire, one 'hole' and community at a time."
156B,Canada,The Youssef Drawing Syllabus - Movement & Form,Art Books,Samantha Youssef,The Youssef Drawing Syllabus.  The book covering the figure drawing program taught to animation industry artists.
157B,United States,The Unsolicited Poetry Tour,Publishing,Peter Anderson,"Verna Press is going on tour to promote David Rowe's 'Unsolicited Poems,' and to seek out new voices for our new Lit Mag Dorado."
158B,United States,Baby's First Mythos: Learning With Lovecraft,Children's Books,Erica Henderson,This will be a complete artistic overhaul of the popular Lovecraftian children's book.
159B,United States,State Themed Flash Cards: A New Way To Souvenir!,Children's Books,Bright Eyed Baby,"A colorful way to enhance vocabulary development, learn about the United States, and also inspire travel  in your little ones."
160B,United States,Melissa Youth Onstage Season 5. Act Like You Mean It!,Musical,Doug Valentine,Melissa Youth OnSTAGE (MYO) provides kids in North Collin County with the very best in youth theatre opportunities.
161B,United States,Loving Buttons (A Flood Is Coming) - Performance Poem,Experimental,Betty La Roe,sharing thoughts from the heart in words and movement
162B,United States,Quarantine: Collapse,Theater,Blackout Theatre,"Quarantine: Collapse is an interactive haunted house, be a part of the story as you navigate a farm and corn maze infested with undead!"
163B,United Kingdom,Brute,Plays,Izzy Tennyson,"Brute (winner of the 2015 IdeasTap Underbelly Award) is new writing based on the true story of a rather twisted, horrible schoolgirl."
164B,United Kingdom,Support Young Activist In The Liberty Tree,Musical,Public Domain Productions,Support Young Activist in their involvement in The Liberty Tree
165B,United States,Body Play - New Draft New England Tour,Theater,Kaycee Filson,"BODY Play, a solo performance piece about our bodies, hits the road this June with a NEW DRAFT!"
166B,United States,Imaginary Theater Company Presents The Premiere Of The Boat,Plays,Starry Krueger,Marina's mother has disappeared at sea.  Everyone believes she has drowned.  But Marina believes her mother has become a mermaid.
167B,United States,Bom Circo!,Experimental,Beau Poehlman,"A modern circus theatre show featuring local performers of many kinds, collaborating to create entertainment and fun for all ages."
168B,United Kingdom,Season Scandinavia,Plays,Kay Michael,"Empty Deck presents the most exciting unknown contemporary Scandinavian plays in co-production with The Other Room Theatre, Cardiff."
169B,United States,Washeteria: Innovative Site Specific Theater For Kids,Theater,Louisa Thompson & Soho Rep.,Designer Louisa Thompson and Soho Rep transform an unused storefront into a fantastical Laundromat and theater for all-age audiences.
170B,United States,Quarantine: Origins,Immersive,Blackout Theatre,"Quarantine is an interactive haunted house. Make choices, learn secrets, navigate a creepy farm & corn maze to learn how it all began!"
171B,United Kingdom,"""Leave Hitler To Me, Lad"" Hits The West End!",Theater,Haley Cox (Mother Duck),"Americana Musical ""Leave Hitler To Me, Lad"" tells the true story of a lost generation of children in the aftermath of World War 2."
172B,United States,Field Hockey Hot - A World Premiere Musical!,Musical,11Th Hour Theatre Company,Join the team to help 11th Hour Theatre Company bring their 1st WORLD PREMIERE MUSICAL to Philadelphia this March!
173B,United States,Astral Dick Part Ii,Theater,Hanna Hall,"Astral Dick is an absurdist ""whodunit""  by playwright James Mathers."
174B,United States,2013 Bay One Acts Festival (Boa),Festivals,The Boa Festival,The 2013 Bay One Acts Festival (BOA) spotlights new work from local artists. Your pledge helps sustain a Bay Area theater tradition.
175B,United States,"Dear Friend,",Theater,Apt. 502,A collaborative theater project on its way to the Edinburgh Fringe
